"Records","410","435","460","485","510","535","560","585","610","645","680","705","730","760","810","860","900","940","Capacitity Moist","Temp","Moist","EC (u/10 gram)","Ph","Nitro (mg/10 g)","Posh Nitro (mg/10 g)","Pota Nitro (mg/10 g)"
"13_0ml-5","691.69","138.74","347.31","90.34","167.07","159.29","24.62","29.04","127.14","41.81","73.81","7.87","15.37","14.49","29.88","88.38","12.67","6.2","2642","36.4","0","0","7.15","0","0","0"
"13_0ml-6","691.69","138.74","347.31","92.02","166.32","162.1","25.53","29.86","129.45","41.81","77.79","8.23","15.37","15.3","29.88","90.59","12.67","6.2","2641","36.4","0","0","7.15","0","0","0"
"13_0ml-7","690.92","138.74","347.31","88.65","166.32","152.97","24.17","27.82","122.51","41.81","78.79","7.87","14.56","14.49","29.88","86.17","12.67","6.2","2664","36.4","0","0","7.15","0","0","0"
"13_0ml-8","691.69","138.74","347.31","90.34","166.32","159.29","24.62","29.04","127.14","41.81","73.81","7.87","15.37","14.49","29.88","88.38","12.67","6.2","2643","36.4","0","0","7.15","0","0","0"
"13_0ml-9","691.69","138.74","347.31","94.56","167.07","163.5","25.53","29.86","130.61","41.81","78.79","8.23","15.37","15.3","29.88","91.69","12.67","6.2","2647","36.4","0","0","7.17","0","0","0"
"137_0ml-1","733.24","151.18","380.87","96.25","180.56","167.01","29.18","36","142.16","50.1","88.77","9.3","16.99","16.1","34.15","109.37","14.98","7.08","2638","35.8","0","0","7.72","0","0","0"
"137_0ml-10","732.47","151.18","380.87","96.25","180.56","166.31","28.73","35.59","142.16","50.1","88.77","9.3","16.99","16.1","34.15","109.37","14.98","7.08","2635","35.8","0","0","7.68","0","0","0"
"137_0ml-2","732.47","151.18","380.87","103.84","180.56","181.04","31.01","38.45","153.72","50.1","88.77","10.02","18.61","17.71","34.15","117.1","14.98","7.08","2638","35.8","0","0","7.72","0","0","0"
"137_0ml-3","732.47","151.18","380.87","94.56","180.56","162.8","28.27","34.77","139.85","50.1","82.78","8.94","16.99","16.1","34.15","107.16","14.98","6.2","2638","35.8","0","0","7.72","0","0","0"
"137_0ml-4","732.47","151.18","380.87","97.93","180.56","169.11","29.18","36","144.47","50.1","87.77","9.3","17.8","16.1","34.15","110.47","14.98","7.08","2636","35.8","0","0","7.72","0","0","0"
