"Records","410","435","460","485","510","535","560","585","610","645","680","705","730","760","810","860","900","940","Capacitity Moist","Temp","Moist","EC (u/10 gram)","Ph","Nitro (mg/10 g)","Posh Nitro (mg/10 g)","Pota Nitro (mg/10 g)"
"102_25ml-1","683.23","130.13","327.36","87.8","150.59","148.06","21.43","24.54","98.24","34.28","60.84","7.15","12.94","12.88","24.76","71.81","11.52","6.2","2370","37.5","14.3","1.8","7.31","0.14","0.19","0.5"
"102_25ml-10","681.69","130.13","327.36","86.96","150.59","146.66","20.97","24.54","97.09","34.28","59.84","6.8","12.94","12.88","24.76","67.39","11.52","6.2","2373","37.5","14.2","1.88","7.97","0.15","0.2","0.51"
"102_25ml-2","683.23","130.13","327.36","84.43","150.59","143.85","20.52","23.73","95.93","34.65","55.85","6.8","12.94","12.88","24.76","66.28","11.52","6.2","2351","37.5","14.3","1.82","7.31","0.14","0.2","0.5"
"102_25ml-3","683.23","130.13","326.46","84.43","150.59","143.85","20.52","24.14","95.93","34.65","55.85","6.8","12.94","12.88","24.76","66.28","11.52","6.2","2360","37.5","14.3","1.83","7.47","0.14","0.2","0.5"
"102_25ml-4","682.46","130.13","327.36","85.27","150.59","146.66","20.97","24.54","98.24","34.65","60.84","6.8","12.94","12.88","24.76","67.39","11.52","6.2","2355","37.5","14.2","1.85","7.47","0.15","0.2","0.51"
"102_25ml-5","683.23","130.13","327.36","86.11","150.59","148.06","20.97","24.54","99.4","34.65","59.84","7.15","12.94","13.69","24.76","67.39","11.52","6.2","2337","37.5","14.2","1.86","7.47","0.15","0.2","0.51"
"102_25ml-6","682.46","130.13","326.46","86.96","150.59","146.66","20.97","24.54","98.24","34.65","60.84","7.15","12.94","12.88","24.76","70.7","11.52","6.2","2346","37.5","14.3","1.86","8.02","0.15","0.2","0.51"
"102_25ml-7","682.46","130.13","327.36","84.43","150.59","143.85","20.52","23.73","95.93","34.65","55.85","6.8","12.94","12.88","24.76","66.28","11.52","6.2","2369","37.5","14.2","1.87","8.02","0.15","0.2","0.51"
"102_25ml-8","681.69","130.13","327.36","85.27","150.59","146.66","20.97","24.54","98.24","34.65","60.84","6.8","12.94","12.88","24.76","67.39","11.52","6.2","2376","37.5","14.2","1.88","8.02","0.15","0.2","0.51"
"102_25ml-9","681.69","130.13","327.36","85.27","150.59","145.96","20.97","24.14","97.09","34.28","60.84","6.8","12.94","12.88","24.76","67.39","11.52","6.2","2369","37.5","14.2","1.88","8.02","0.15","0.2","0.51"
"104_25ml-1","720.93","144.48","349.13","92.02","164.82","152.27","23.25","27.41","110.96","38.8","75.8","7.51","15.37","16.1","30.73","95","13.25","6.2","2476","38.2","12.5","1.67","7","0.14","0.19","0.48"
"104_25ml-10","719.39","144.48","349.13","92.87","165.57","155.08","23.71","27.82","113.27","38.8","76.8","7.51","16.18","16.1","29.88","95","13.83","6.2","2513","38.2","12.5","1.72","7.53","0.14","0.19","0.48"
"104_25ml-2","720.16","144.48","349.13","90.34","164.82","150.17","23.25","27","109.8","38.42","70.81","7.51","15.37","15.3","29.88","92.8","13.25","6.2","2519","38.2","12.6","1.68","7","0.14","0.19","0.48"
"104_25ml-3","720.16","144.48","349.13","93.71","165.57","153.67","23.71","27.82","112.11","38.8","75.8","7.51","16.18","16.1","30.73","95","13.25","6.2","2520","38.2","12.6","1.69","6.94","0.14","0.19","0.48"
"104_25ml-4","720.16","144.48","348.22","91.18","164.82","151.57","23.25","27.41","110.96","38.42","76.8","7.51","16.18","16.1","30.73","95","13.25","6.2","2496","38.2","12.6","1.7","6.94","0.14","0.19","0.48"
"104_25ml-5","720.16","144.48","349.13","92.02","164.82","153.67","23.25","27.82","112.11","38.42","75.8","7.51","16.18","16.1","29.88","95","13.25","6.2","2522","38.2","12.6","1.7","6.94","0.14","0.19","0.48"
"104_25ml-6","719.39","144.48","349.13","99.62","165.57","167.01","25.53","29.86","122.51","38.8","75.8","8.23","16.99","17.71","29.88","101.63","13.25","7.08","2548","38.2","12.6","1.7","6.94","0.14","0.19","0.48"
"104_25ml-7","719.39","144.48","348.22","91.18","164.82","150.87","23.25","27.41","109.8","38.8","70.81","7.51","15.37","16.1","29.88","93.9","13.25","6.2","2520","38.2","12.6","1.71","7.53","0.14","0.19","0.48"
"104_25ml-8","719.39","144.48","349.13","86.11","164.82","139.64","21.43","25.36","101.71","38.8","70.81","7.15","14.56","15.3","30.73","92.8","13.25","6.2","2523","38.2","12.6","1.72","7.53","0.14","0.19","0.48"
"104_25ml-9","720.16","144.48","348.22","86.11","164.82","141.75","21.89","25.77","104.02","38.8","76.8","7.15","14.56","15.3","29.88","88.38","13.83","6.2","2524","38.2","12.6","1.71","7.53","0.14","0.19","0.48"
"106_25ml-1","785.56","157.88","396.28","103","201.53","177.53","22.8","27","109.8","40.68","84.78","7.15","16.99","15.3","29.88","106.05","13.25","6.2","2464","35.6","15.5","2","7.87","0.15","0.21","0.53"
"106_25ml-10","789.41","157.88","399","103.84","202.28","178.94","22.34","26.59","109.8","40.3","84.78","7.15","17.8","16.1","30.73","106.05","13.25","6.2","2462","35.6","15.5","2","8.07","0.15","0.21","0.53"
"106_25ml-2","787.1","157.88","397.19","100.47","201.53","172.62","22.34","26.18","106.33","40.68","79.79","7.15","16.99","15.3","30.73","103.84","13.25","6.2","2461","35.6","15.6","2","7.87","0.15","0.21","0.53"
"106_25ml-3","786.33","157.88","397.19","96.25","201.53","164.9","21.43","24.95","101.71","40.68","85.77","6.8","16.18","15.3","29.88","100.53","13.25","6.2","2456","35.6","15.6","2","7.88","0.15","0.21","0.53"
"106_25ml-4","786.33","157.88","397.19","103","201.53","178.23","22.8","27","109.8","40.68","85.77","7.15","16.99","16.1","30.73","107.16","13.25","6.2","2459","35.6","15.6","2","7.88","0.15","0.21","0.53"
"106_25ml-5","786.33","157.88","397.19","102.16","202.28","176.13","22.8","27","108.64","40.68","85.77","7.15","16.99","16.1","30.73","106.05","13.25","6.2","2458","35.6","15.6","2","7.88","0.15","0.21","0.53"
"106_25ml-6","786.33","157.88","397.19","94.56","202.28","159.99","20.52","24.54","98.24","40.68","79.79","6.8","16.18","15.3","30.73","98.32","13.25","6.2","2462","35.6","15.6","2","7.88","0.15","0.21","0.53"
"106_25ml-7","788.64","157.88","398.1","100.47","202.28","173.32","22.34","26.18","106.33","40.68","79.79","7.15","16.99","16.1","30.73","103.84","13.25","6.2","2458","35.6","15.6","2","8.07","0.15","0.21","0.53"
"106_25ml-8","788.64","157.88","399","101.31","202.28","174.02","21.89","26.18","107.49","40.68","79.79","7.15","16.99","16.1","30.73","103.84","13.25","6.2","2456","35.6","16","2","8.07","0.15","0.21","0.53"
"106_25ml-9","788.64","158.84","399","101.31","202.28","174.02","21.89","25.77","107.49","40.3","79.79","7.15","17.8","16.1","30.73","104.95","13.25","6.2","2459","35.6","16","2","8.07","0.15","0.21","0.53"
"11_25ml-1","832.49","173.19","436.18","103","203.78","175.43","25.53","29.45","153.72","40.68","98.74","8.94","19.46","16.91","40.13","144.72","16.13","6.2","1907","36.3","13.6","2","7.68","0.15","0.21","0.53"
"11_25ml-10","826.34","172.23","430.74","104.69","201.53","178.94","25.99","29.86","156.03","40.68","104.72","9.3","19.42","17.71","40.13","148.03","16.13","6.2","1924","36.3","13.6","2","7.88","0.15","0.21","0.53"
"11_25ml-2","831.72","173.19","435.28","103.84","203.03","176.83","25.53","29.45","153.72","40.68","98.74","8.94","19.42","16.91","40.13","145.82","16.13","6.2","1907","36.3","13.6","2","7.68","0.15","0.21","0.53"
"11_25ml-3","831.72","173.19","434.37","105.53","203.03","181.04","25.99","30.27","158.34","40.68","104.72","9.3","19.42","17.71","40.13","149.14","16.13","7.08","1909","36.3","13.6","2","7.68","0.15","0.21","0.53"
"11_25ml-4","831.72","172.23","434.37","104.69","203.03","179.64","25.99","30.27","157.19","40.68","104.72","9.3","19.42","17.71","40.13","146.93","16.13","7.08","1905","36.3","13.6","2","7.68","0.15","0.21","0.53"
"11_25ml-5","830.95","172.23","434.37","106.38","203.03","181.74","25.99","30.27","158.34","40.68","104.72","9.3","20.22","17.71","40.13","149.14","16.13","6.2","1919","36.3","13.6","2","7.87","0.15","0.21","0.53"
"11_25ml-6","827.11","172.23","431.65","104.69","201.53","178.94","25.99","30.27","157.19","40.68","104.72","8.94","19.42","16.91","39.27","146.93","16.13","6.2","1918","36.3","13.6","2","7.87","0.15","0.21","0.53"
"11_25ml-7","826.34","172.23","430.74","105.53","201.53","180.34","25.99","30.27","157.19","40.68","104.72","9.3","19.42","17.71","40.13","148.03","16.13","6.2","1924","36.3","13.6","2","7.87","0.15","0.21","0.53"
"11_25ml-8","825.57","172.23","430.74","103","201.53","175.43","25.53","29.45","153.72","40.68","98.74","8.94","19.42","17.71","40.13","144.72","16.13","6.2","1892","36.3","13.7","2","7.87","0.15","0.21","0.53"
"11_25ml-9","827.11","172.23","431.65","103","201.53","175.43","25.53","29.45","153.72","40.68","98.74","8.94","19.42","16.91","39.27","144.72","16.13","6.2","1889","36.3","13.7","2","7.88","0.15","0.21","0.53"
"115_25ml-1","674.77","129.17","325.55","86.11","150.59","145.96","22.8","26.59","100.55","38.42","65.83","7.15","13.75","13.69","25.61","75.12","11.52","6.2","2428","35.1","11.3","1.7","8.07","0.14","0.19","0.48"
"115_25ml-10","674","130.13","324.64","84.43","150.59","142.45","21.89","25.77","98.24","38.42","60.84","6.8","12.94","13.69","25.61","72.91","11.52","6.2","2383","35.1","12.1","1.75","7.97","0.14","0.19","0.49"
"115_25ml-2","674.77","130.13","325.55","83.58","151.34","141.75","21.89","25.77","97.09","38.42","60.84","6.8","12.94","13.69","25.61","72.91","11.52","6.2","2386","35.1","11.4","1.71","8.07","0.14","0.19","0.48"
"115_25ml-3","674.77","129.17","325.55","81.05","151.34","134.73","20.97","24.95","92.46","38.42","64.83","6.8","12.13","12.88","25.61","70.7","11.52","6.2","2389","35.1","11.4","1.72","8.02","0.14","0.19","0.48"
"115_25ml-4","674.77","130.13","325.55","83.58","150.59","142.45","21.89","25.77","98.24","38.42","60.84","6.8","12.94","13.69","25.61","72.91","11.52","6.2","2383","35.1","11.6","1.72","8.02","0.14","0.19","0.48"
"115_25ml-5","674","130.13","325.55","86.96","150.59","144.55","22.34","26.59","99.4","38.42","65.83","7.15","12.94","13.69","25.61","75.12","11.52","6.2","2357","35.1","11.6","1.73","8.02","0.14","0.19","0.49"
"115_25ml-6","674","130.13","325.55","85.27","150.59","145.25","22.8","26.59","99.4","38.42","64.83","7.15","13.75","13.69","25.61","75.12","11.52","6.2","2384","35.1","11.9","1.73","8.02","0.14","0.19","0.49"
"115_25ml-7","674.77","129.17","325.55","86.11","150.59","146.66","22.8","26.59","100.55","38.42","65.83","7.15","13.75","13.69","25.61","75.12","11.52","6.2","2382","35.1","12.1","1.74","7.97","0.14","0.19","0.49"
"115_25ml-8","674","130.13","325.55","92.02","150.59","157.18","24.17","28.63","107.49","38.42","65.83","7.51","14.56","14.49","25.61","79.54","11.52","7.08","2382","35.1","12.1","1.74","7.97","0.14","0.19","0.49"
"115_25ml-9","674","129.17","325.55","86.11","150.59","145.96","22.34","26.59","100.55","38.42","65.83","7.15","13.75","13.69","25.61","74.02","11.52","6.2","2385","35.1","12.2","1.74","7.97","0.14","0.19","0.49"
"121_25ml-1","686.31","134.92","337.34","82.74","156.58","138.24","22.8","26.59","106.33","39.55","72.81","7.51","12.94","13.69","29.03","88.38","12.67","6.2","2418","37.8","17.1","2","7.98","0.15","0.21","0.53"
"121_25ml-10","685.54","135.87","337.34","86.96","156.58","148.06","24.62","28.63","115.58","39.93","78.79","7.87","14.56","14.49","29.03","89.48","12.67","6.2","2414","37.8","16.8","2","7.08","0.15","0.21","0.53"
"121_25ml-2","685.54","134.92","337.34","88.65","156.58","151.57","24.62","29.04","117.89","39.55","77.79","7.87","14.56","14.49","29.03","90.59","12.67","6.2","2475","37.8","16.9","2","7.98","0.15","0.21","0.53"
"121_25ml-3","685.54","134.92","337.34","86.11","156.58","146.66","24.17","28.23","114.42","39.93","72.81","7.51","14.56","14.49","29.03","88.38","12.67","6.2","2418","37.8","16.9","2","7.24","0.15","0.21","0.53"
"121_25ml-4","685.54","135.87","337.34","88.65","156.58","151.57","24.62","29.04","117.89","39.93","77.79","7.87","14.56","14.49","29.03","90.59","12.67","6.2","2421","37.8","16.9","2","7.24","0.15","0.21","0.53"
"121_25ml-5","685.54","135.87","337.34","88.65","156.58","150.87","24.62","29.04","117.89","39.93","78.79","7.87","14.56","14.49","29.03","90.59","12.67","6.2","2427","37.8","16.9","2","7.24","0.15","0.21","0.53"
"121_25ml-6","685.54","135.87","337.34","88.65","156.58","151.57","25.08","29.04","117.89","39.93","77.79","7.87","14.56","14.49","29.03","90.59","12.67","6.2","2418","37.8","16.9","2","7.24","0.15","0.21","0.53"
"121_25ml-7","685.54","135.87","337.34","86.11","156.58","147.36","24.17","28.23","114.42","39.93","72.81","7.87","13.75","14.49","29.03","88.38","12.67","6.2","2491","37.8","16.9","2","7.08","0.15","0.21","0.53"
"121_25ml-8","685.54","135.87","338.25","89.49","156.58","152.97","25.08","29.45","119.05","39.93","78.79","7.87","14.56","14.49","29.03","91.69","12.67","6.2","2437","37.8","16.9","2","7.08","0.15","0.21","0.53"
"121_25ml-9","685.54","135.87","337.34","87.8","156.58","150.17","24.62","29.04","116.74","39.93","78.79","7.87","14.56","14.49","29.03","90.59","12.67","6.2","2419","37.8","16.9","2","7.08","0.15","0.21","0.53"
"13_25ml-1","656.3","125.35","314.67","85.27","146.84","150.87","20.97","23.32","94.78","31.26","60.84","6.8","12.94","13.69","23.9","69.6","10.37","6.2","2408","36.5","18.5","2","7.7","0.15","0.21","0.53"
"13_25ml-10","655.53","126.3","314.67","83.58","146.84","146.66","20.52","22.5","92.46","31.26","56.85","6.44","12.94","13.69","23.9","67.39","10.95","6.2","2389","36.5","18.4","2","7.7","0.15","0.21","0.53"
"13_25ml-2","656.3","126.3","314.67","83.58","146.84","146.66","20.52","22.5","92.46","31.26","56.85","6.44","12.13","13.69","23.9","68.49","10.95","6.2","2381","36.5","18.5","2","6.97","0.15","0.21","0.53"
"13_25ml-3","656.3","125.35","314.67","79.36","146.84","136.83","19.15","21.27","86.68","31.26","56.85","6.44","12.13","12.88","23.9","67.39","10.95","6.2","2391","36.5","18.5","2","6.97","0.15","0.21","0.53"
"13_25ml-4","656.3","125.35","314.67","86.11","146.84","149.46","20.97","22.91","94.78","31.26","61.84","6.8","12.94","13.69","23.9","69.6","10.95","6.2","2390","36.5","18.5","2","6.97","0.15","0.21","0.53"
"13_25ml-5","655.53","126.3","314.67","86.11","146.84","151.57","20.97","23.32","95.93","31.26","61.84","6.8","12.94","13.69","23.9","69.6","10.95","6.2","2393","36.5","18.5","2","6.97","0.15","0.21","0.53"
"13_25ml-6","656.3","126.3","314.67","86.11","146.84","151.57","20.97","23.32","95.93","31.26","61.84","6.8","12.94","13.69","23.9","69.6","10.95","6.2","2387","36.5","18.5","2","7.7","0.15","0.21","0.53"
"13_25ml-7","655.53","125.35","314.67","86.11","146.84","150.87","20.97","23.32","95.93","31.26","60.84","6.8","12.94","13.69","23.9","69.6","10.95","6.2","2397","36.5","18.5","2","7.7","0.15","0.21","0.53"
"13_25ml-8","655.53","126.3","314.67","84.43","146.84","149.46","20.97","22.91","94.78","31.26","61.84","6.8","12.94","13.69","23.9","68.49","10.95","6.2","2393","36.5","18.5","2","7.7","0.15","0.21","0.53"
"13_25ml-9","656.3","125.35","314.67","86.11","146.84","150.87","20.97","23.32","95.93","31.26","61.84","6.8","12.94","13.69","23.9","69.6","10.95","6.2","2384","36.5","18.4","2","7.7","0.15","0.21","0.53"
"137_25ml-1","684","133","334.62","87.8","154.33","150.87","22.8","26.18","105.18","36.16","65.83","7.51","13.75","13.69","26.47","77.33","12.1","6.2","2546","35.8","13.3","1.76","7.59","0.14","0.19","0.49"
"137_25ml-10","683.23","133","334.62","86.96","153.59","148.06","22.34","26.18","102.87","36.16","65.83","7.51","13.75","13.69","26.47","76.22","12.1","6.2","2484","35.9","13.2","1.81","7.97","0.14","0.2","0.5"
"137_25ml-2","684","133","334.62","85.27","153.59","145.25","21.89","25.36","101.71","36.16","60.84","7.15","13.75","13.69","26.47","75.12","12.1","6.2","2426","35.8","13.4","1.77","7.59","0.14","0.19","0.49"
"137_25ml-3","683.23","133","334.62","81.89","153.59","138.24","20.97","24.14","97.09","36.16","65.83","6.8","12.94","12.88","26.47","71.81","12.1","6.2","2487","35.8","13.4","1.78","7.59","0.14","0.19","0.49"
"137_25ml-4","683.23","133","334.62","85.27","153.59","145.25","21.89","25.36","101.71","36.16","60.84","7.15","13.75","13.69","26.47","75.12","12.1","6.2","2484","35.8","13.3","1.78","7.59","0.14","0.19","0.49"
"137_25ml-5","683.23","133","334.62","81.89","153.59","138.24","20.97","24.14","97.09","36.16","65.83","7.15","12.94","12.88","26.47","72.91","12.1","6.2","2500","35.8","13.4","1.79","8.02","0.14","0.19","0.5"
"137_25ml-6","683.23","133","334.62","85.27","153.59","145.25","21.89","25.36","101.71","36.16","60.84","7.15","13.75","13.69","26.47","75.12","12.1","6.2","2489","35.9","13.4","1.79","8.02","0.14","0.19","0.5"
"137_25ml-7","683.23","133","334.62","81.05","153.59","136.83","20.97","24.14","95.93","36.16","65.83","6.8","12.94","12.88","26.47","71.81","12.1","6.2","2492","35.8","13.2","1.8","8.02","0.14","0.19","0.5"
"137_25ml-8","683.23","133","334.62","85.27","153.59","145.25","21.89","25.36","101.71","36.16","60.84","7.15","13.75","13.69","26.47","75.12","12.1","6.2","2491","35.8","13.2","1.8","8.02","0.14","0.19","0.5"
"137_25ml-9","683.23","133","334.62","82.74","153.59","136.83","20.52","24.14","95.93","36.16","65.83","6.8","12.94","12.88","26.47","71.81","12.1","6.2","2494","35.9","13.3","1.8","7.97","0.14","0.19","0.5"
"140_25ml-1","719.39","147.35","363.64","94.56","176.06","169.81","23.25","26.59","136.38","37.29","76.8","7.87","21.03","17.71","33.3","97.21","13.83","6.2","2652","37.9","17.7","2","7.38","0.15","0.21","0.53"
"140_25ml-10","717.85","147.35","364.54","91.18","176.06","163.5","22.34","25.77","131.76","37.29","71.81","7.51","19.42","16.91","33.3","93.9","13.83","6.2","2642","37.9","17.6","2","7.92","0.15","0.21","0.53"
"140_25ml-2","718.62","147.35","363.64","93.71","176.06","168.41","22.8","26.59","135.23","37.29","76.8","7.51","21.03","17.71","33.3","96.11","13.83","6.2","2657","37.9","17.7","2","7.38","0.15","0.21","0.53"
"140_25ml-3","718.62","147.35","363.64","92.87","176.06","166.31","22.8","26.59","134.07","37.29","77.79","7.51","20.22","17.71","33.3","95","13.83","6.2","2646","37.9","17.7","2","7.38","0.15","0.21","0.53"
"140_25ml-4","717.85","147.35","364.54","91.18","176.06","162.8","22.34","25.77","130.61","37.29","70.81","7.51","19.42","16.91","33.3","93.9","13.83","6.2","2650","37.9","17.6","2","7.67","0.15","0.21","0.53"
"140_25ml-5","718.62","147.35","364.54","93.71","176.06","168.41","22.8","26.59","135.23","37.29","76.8","7.51","20.22","17.71","33.3","96.11","13.83","6.2","2670","37.9","17.6","2","7.67","0.15","0.21","0.53"
"140_25ml-6","718.62","147.35","364.54","90.34","175.31","161.39","21.89","25.36","129.45","37.29","76.8","7.51","19.42","16.91","33.3","92.8","13.83","6.2","2657","37.9","17.6","2","7.67","0.15","0.21","0.53"
"140_25ml-7","718.62","147.35","364.54","92.87","175.31","166.31","22.34","26.18","132.92","37.29","76.8","7.51","20.22","17.71","33.3","95","13.83","6.2","2650","37.9","17.6","2","7.67","0.15","0.21","0.53"
"140_25ml-8","718.62","147.35","364.54","86.96","175.31","155.78","20.97","24.54","124.83","36.91","76.8","7.15","18.61","16.91","33.3","90.59","13.83","6.2","2654","37.9","17.6","2","7.92","0.15","0.21","0.53"
"140_25ml-9","717.85","147.35","364.54","87.8","176.06","155.78","21.43","24.54","124.83","37.29","76.8","7.15","18.61","16.1","33.3","90.59","13.83","6.2","2624","37.9","17.6","2","7.92","0.15","0.21","0.53"
"142_25ml-1","733.24","149.27","367.26","97.09","180.56","164.2","30.55","35.59","153.72","48.97","96.74","9.66","19.42","18.52","38.42","120.41","16.13","7.08","2383","38.5","17.8","2","7.44","0.15","0.21","0.53"
"142_25ml-10","731.7","149.27","368.17","95.4","180.56","161.39","29.64","34.77","152.57","48.59","90.76","9.3","18.61","18.52","38.42","118.2","16.13","7.08","2395","38.5","16.8","2","7.02","0.15","0.21","0.53"
"142_25ml-2","733.24","149.27","368.17","95.4","180.56","161.39","29.64","34.77","152.57","48.97","90.76","9.66","18.61","17.71","38.42","118.2","16.13","7.08","2386","38.5","16.6","2","7.44","0.15","0.21","0.53"
